170424 15:40:31 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:31 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:36 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:36 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:36 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:41 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:41 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:41 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:46 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:46 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:46 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:51 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:51 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:51 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:56 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:56 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:56 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:01 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:41:01 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:41:01 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:06 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:41:06 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:41:06 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:11 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:41:11 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:41:11 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:16 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:41:16 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:41:16 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:21 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:41:21 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:41:21 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:26 INFO | monkey end with Coolpad8675-FHD--[monkey.py:113]
170424 15:41:26 INFO | capture screen--[monkey.py:120]
170424 15:41:26 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:41:26 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:41:26 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:28 INFO | [ 13%] /sdcard/Coolpad8675-FHD_04-24~15-38-46.png
[ 27%] /sdcard/Coolpad8675-FHD_04-24~15-38-46.png
[ 40%] /sdcard/Coolpad8675-FHD_04-24~15-38-46.png
[ 54%] /sdcard/Coolpad8675-FHD_04-24~15-38-46.png
[ 68%] /sdcard/Coolpad8675-FHD_04-24~15-38-46.png
[ 81%] /sdcard/Coolpad8675-FHD_04-24~15-38-46.png
[ 95%] /sdcard/Coolpad8675-FHD_04-24~15-38-46.png
[100%] /sdcard/Coolpad8675-FHD_04-24~15-38-46.png--[monkey.py:127]
170424 15:41:28 INFO | deal_with_log--[monkey.py:136]
170424 15:41:29 INFO | 发送失败--[mail.py:51]
170424 15:41:29 INFO | Reboot Coolpad8675-FHD--[monkey.py:169]
170424 15:41:31 INFO | All device lost--[base.py:42]
170424 15:41:31 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:41:31 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:31 INFO | device lost--[device_monitor.py:37]
170424 15:41:36 INFO | All device lost--[base.py:42]
170424 15:41:36 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:41:36 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:41:41 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:41:41 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:41:41 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:41:41 DEBUG | new device dict is: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:35]
170424 15:41:41 INFO | changed device: {'Coolpad8675-FHD': 'a82ef248'}--[monkey.py:189]
170424 15:41:46 INFO | All device lost--[base.py:42]
170424 15:41:46 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:41:46 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:41:46 INFO | device lost--[device_monitor.py:37]
170424 15:41:47 DEBUG | This system is Mac--[monkey_stop.py:60]
170424 15:41:51 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:41:51 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:41:51 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:41:51 DEBUG | new device dict is: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:35]
170424 15:41:51 INFO | changed device: {'XT1079': 'ZX1C3242JH'}--[monkey.py:189]
170424 15:41:56 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:41:56 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:41:56 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:41:57 DEBUG | This system is Mac--[monkey_stop.py:60]
170424 15:41:57 INFO | no monkey running in XT1079--[monkey_stop.py:31]
170424 15:41:57 INFO | start monkey with XT1079--[monkey.py:101]
170424 15:41:57 INFO | Monkey cmd: /Users/Admin/Public/Android/sdk/platform-tools/adb -s ZX1C3242JH shell monkey -s 281 -p com.ijuyin.prints.news -v  --throttle 500 --pct-trackball 0 --pct-syskeys 5 --pct-nav 0 --pct-anyevent 0 1000   > /Users/Admin/Desktop/monkey_android-master/performance/monkey/monkeylog/2017-04-24/XT1079_04-24~15-41-57.txt--[monkey.py:108]
170424 15:42:01 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:01 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:01 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:06 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:06 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:06 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
